datetime,value,datetime_utc,tz_time,geo_id,geo_name
2022-11-18 01:00:00+01:00,109.97,2022-11-18T00:00:00Z,2022-11-18T00:00:00.000Z,3,España
2022-11-18 02:00:00+01:00,112.44,2022-11-18T01:00:00Z,2022-11-18T01:00:00.000Z,3,España
2022-11-18 03:00:00+01:00,112.62,2022-11-18T02:00:00Z,2022-11-18T02:00:00.000Z,3,España
2022-11-18 04:00:00+01:00,113.56,2022-11-18T03:00:00Z,2022-11-18T03:00:00.000Z,3,España
2022-11-18 05:00:00+01:00,118.05,2022-11-18T04:00:00Z,2022-11-18T04:00:00.000Z,3,España
2022-11-18 06:00:00+01:00,119.66,2022-11-18T05:00:00Z,2022-11-18T05:00:00.000Z,3,España
2022-11-18 07:00:00+01:00,144.63,2022-11-18T06:00:00Z,2022-11-18T06:00:00.000Z,3,España
2022-11-18 08:00:00+01:00,237.0,2022-11-18T07:00:00Z,2022-11-18T07:00:00.000Z,3,España
2022-11-18 09:00:00+01:00,128.81,2022-11-18T08:00:00Z,2022-11-18T08:00:00.000Z,3,España
2022-11-18 10:00:00+01:00,123.21,2022-11-18T09:00:00Z,2022-11-18T09:00:00.000Z,3,España
2022-11-18 11:00:00+01:00,120.0,2022-11-18T10:00:00Z,2022-11-18T10:00:00.000Z,3,España
2022-11-18 12:00:00+01:00,120.0,2022-11-18T11:00:00Z,2022-11-18T11:00:00.000Z,3,España
2022-11-18 13:00:00+01:00,107.76,2022-11-18T12:00:00Z,2022-11-18T12:00:00.000Z,3,España
2022-11-18 14:00:00+01:00,90.0,2022-11-18T13:00:00Z,2022-11-18T13:00:00.000Z,3,España
2022-11-18 15:00:00+01:00,85.0,2022-11-18T14:00:00Z,2022-11-18T14:00:00.000Z,3,España
2022-11-18 16:00:00+01:00,87.67,2022-11-18T15:00:00Z,2022-11-18T15:00:00.000Z,3,España
2022-11-18 17:00:00+01:00,107.99,2022-11-18T16:00:00Z,2022-11-18T16:00:00.000Z,3,España
2022-11-18 18:00:00+01:00,107.49,2022-11-18T17:00:00Z,2022-11-18T17:00:00.000Z,3,España
2022-11-18 19:00:00+01:00,110.0,2022-11-18T18:00:00Z,2022-11-18T18:00:00.000Z,3,España
2022-11-18 20:00:00+01:00,110.0,2022-11-18T19:00:00Z,2022-11-18T19:00:00.000Z,3,España
2022-11-18 21:00:00+01:00,105.72,2022-11-18T20:00:00Z,2022-11-18T20:00:00.000Z,3,España
2022-11-18 22:00:00+01:00,105.0,2022-11-18T21:00:00Z,2022-11-18T21:00:00.000Z,3,España
2022-11-18 23:00:00+01:00,87.0,2022-11-18T22:00:00Z,2022-11-18T22:00:00.000Z,3,España
2022-11-19 00:00:00+01:00,63.87,2022-11-18T23:00:00Z,2022-11-18T23:00:00.000Z,3,España
2022-11-19 01:00:00+01:00,51.4,2022-11-19T00:00:00Z,2022-11-19T00:00:00.000Z,3,España
2022-11-19 02:00:00+01:00,50.0,2022-11-19T01:00:00Z,2022-11-19T01:00:00.000Z,3,España
2022-11-19 03:00:00+01:00,50.0,2022-11-19T02:00:00Z,2022-11-19T02:00:00.000Z,3,España
2022-11-19 04:00:00+01:00,50.0,2022-11-19T03:00:00Z,2022-11-19T03:00:00.000Z,3,España
2022-11-19 05:00:00+01:00,50.0,2022-11-19T04:00:00Z,2022-11-19T04:00:00.000Z,3,España
2022-11-19 06:00:00+01:00,51.4,2022-11-19T05:00:00Z,2022-11-19T05:00:00.000Z,3,España
2022-11-19 07:00:00+01:00,59.69,2022-11-19T06:00:00Z,2022-11-19T06:00:00.000Z,3,España
2022-11-19 08:00:00+01:00,60.83,2022-11-19T07:00:00Z,2022-11-19T07:00:00.000Z,3,España
2022-11-19 09:00:00+01:00,52.0,2022-11-19T08:00:00Z,2022-11-19T08:00:00.000Z,3,España
2022-11-19 10:00:00+01:00,49.0,2022-11-19T09:00:00Z,2022-11-19T09:00:00.000Z,3,España
2022-11-19 11:00:00+01:00,25.0,2022-11-19T10:00:00Z,2022-11-19T10:00:00.000Z,3,España
2022-11-19 12:00:00+01:00,22.0,2022-11-19T11:00:00Z,2022-11-19T11:00:00.000Z,3,España
2022-11-19 13:00:00+01:00,33.5,2022-11-19T12:00:00Z,2022-11-19T12:00:00.000Z,3,España
2022-11-19 14:00:00+01:00,43.11,2022-11-19T13:00:00Z,2022-11-19T13:00:00.000Z,3,España
2022-11-19 15:00:00+01:00,47.9,2022-11-19T14:00:00Z,2022-11-19T14:00:00.000Z,3,España
2022-11-19 16:00:00+01:00,51.4,2022-11-19T15:00:00Z,2022-11-19T15:00:00.000Z,3,España
2022-11-19 17:00:00+01:00,99.14,2022-11-19T16:00:00Z,2022-11-19T16:00:00.000Z,3,España
2022-11-19 18:00:00+01:00,118.0,2022-11-19T17:00:00Z,2022-11-19T17:00:00.000Z,3,España
2022-11-19 19:00:00+01:00,120.21,2022-11-19T18:00:00Z,2022-11-19T18:00:00.000Z,3,España
2022-11-19 20:00:00+01:00,123.0,2022-11-19T19:00:00Z,2022-11-19T19:00:00.000Z,3,España
2022-11-19 21:00:00+01:00,121.7,2022-11-19T20:00:00Z,2022-11-19T20:00:00.000Z,3,España
2022-11-19 22:00:00+01:00,114.01,2022-11-19T21:00:00Z,2022-11-19T21:00:00.000Z,3,España
2022-11-19 23:00:00+01:00,110.0,2022-11-19T22:00:00Z,2022-11-19T22:00:00.000Z,3,España
2022-11-20 00:00:00+01:00,94.0,2022-11-19T23:00:00Z,2022-11-19T23:00:00.000Z,3,España
2022-11-20 01:00:00+01:00,79.5,2022-11-20T00:00:00Z,2022-11-20T00:00:00.000Z,3,España
2022-11-20 02:00:00+01:00,65.37,2022-11-20T01:00:00Z,2022-11-20T01:00:00.000Z,3,España
2022-11-20 03:00:00+01:00,63.4,2022-11-20T02:00:00Z,2022-11-20T02:00:00.000Z,3,España
2022-11-20 04:00:00+01:00,65.0,2022-11-20T03:00:00Z,2022-11-20T03:00:00.000Z,3,España
2022-11-20 05:00:00+01:00,66.52,2022-11-20T04:00:00Z,2022-11-20T04:00:00.000Z,3,España
2022-11-20 06:00:00+01:00,89.99,2022-11-20T05:00:00Z,2022-11-20T05:00:00.000Z,3,España
2022-11-20 07:00:00+01:00,98.0,2022-11-20T06:00:00Z,2022-11-20T06:00:00.000Z,3,España
2022-11-20 08:00:00+01:00,100.0,2022-11-20T07:00:00Z,2022-11-20T07:00:00.000Z,3,España
2022-11-20 09:00:00+01:00,102.06,2022-11-20T08:00:00Z,2022-11-20T08:00:00.000Z,3,España
2022-11-20 10:00:00+01:00,100.0,2022-11-20T09:00:00Z,2022-11-20T09:00:00.000Z,3,España
2022-11-20 11:00:00+01:00,95.0,2022-11-20T10:00:00Z,2022-11-20T10:00:00.000Z,3,España
2022-11-20 12:00:00+01:00,88.1,2022-11-20T11:00:00Z,2022-11-20T11:00:00.000Z,3,España
2022-11-20 13:00:00+01:00,89.9,2022-11-20T12:00:00Z,2022-11-20T12:00:00.000Z,3,España
2022-11-20 14:00:00+01:00,78.0,2022-11-20T13:00:00Z,2022-11-20T13:00:00.000Z,3,España
2022-11-20 15:00:00+01:00,66.52,2022-11-20T14:00:00Z,2022-11-20T14:00:00.000Z,3,España
2022-11-20 16:00:00+01:00,99.78,2022-11-20T15:00:00Z,2022-11-20T15:00:00.000Z,3,España
2022-11-20 17:00:00+01:00,110.0,2022-11-20T16:00:00Z,2022-11-20T16:00:00.000Z,3,España
2022-11-20 18:00:00+01:00,121.74,2022-11-20T17:00:00Z,2022-11-20T17:00:00.000Z,3,España
